UTM33_X,UTM33_Y,exposed_bedr
208536,6637165,0
208536,6637190,0
208536,6637215,0
208536,6637240,0
208536,6637265,0
208536,6637290,0
208536,6637315,0
208536,6637340,0
208536,6637365,0
208536,6637390,0
208536,6637415,0
208536,6637440,0
208536,6637465,0
208536,6637490,0
208536,6637515,0
208536,6637540,1
208536,6637565,1
208536,6637590,1
208536,6637615,1
208536,6637640,1
208536,6637665,1
208536,6637690,1
208536,6637715,1
208536,6637740,1
208536,6637765,1
208536,6637790,1
208536,6637815,1
208536,6637840,1
208536,6637865,1
208536,6637890,1
208536,6637915,1
208536,6637940,1
208536,6637965,1
208536,6637990,1
208536,6638015,1
208536,6638040,1
208536,6638065,1
208536,6638090,1
208536,6638115,1
208536,6638140,1
208536,6638165,1
208536,6638190,1
208536,6638215,1
208536,6638240,1
208536,6638265,1
208536,6638290,1
208536,6638315,1
208536,6638340,1
208536,6638365,1
208536,6638390,1
208536,6638415,1
208536,6638440,1
208536,6638465,1
208536,6638490,1
208536,6638515,1
208536,6638540,1
208536,6638565,1
208536,6638590,1
208536,6638615,1
208536,6638640,1
208536,6638665,1
208536,6638690,1
208536,6638715,1
208536,6638740,1
208536,6638765,1
208536,6638790,1
208536,6638815,1
208536,6638840,1
208536,6638865,1
208536,6638890,1
208536,6638915,1
208536,6638940,1
208536,6638965,1
208536,6638990,1
208536,6639015,1
208536,6639040,1
208536,6639065,1
208536,6639090,1
208536,6639115,1
208536,6639140,1
208536,6639165,1
208536,6639190,1
208536,6639215,1
208536,6639240,1
208536,6639265,1
208536,6639290,0
